Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1950' to '1991' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Dec 2025 8:08:58 AM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
2024,Soviet Union,Afghanistan,K-13A,short-range air-to-air missile,Missiles,1965,Yes,62,Yes,1969,Yes,New,0.04,0.04,2.48,No
2026,Soviet Union,Afghanistan,V-750,SAM,Missiles,1965,Yes,75,Yes,1966,No,New,0.12,0.12,9,No
2026,Soviet Union,Afghanistan,V-750,SAM,Missiles,1965,Yes,75,Yes,1967,No,New,0.12,0.12,9,No
2027,Soviet Union,Afghanistan,Shmel,anti-tank missile,Missiles,1961,Yes,75,Yes,1962,Yes,New,0.01,0.01,0.75,No
2027,Soviet Union,Afghanistan,Shmel,anti-tank missile,Missiles,1961,Yes,100,Yes,1963,Yes,New,0.01,0.01,1,No
2027,Soviet Union,Afghanistan,Shmel,anti-tank missile,Missiles,1961,Yes,75,Yes,1964,Yes,New,0.01,0.01,0.75,No
1219,Soviet Union,Afghanistan,An-26,transport aircraft,Aircraft,1976,Yes,6,Yes,1981,Yes,New,8.5,8.5,51,No
1219,Soviet Union,Afghanistan,An-26,transport aircraft,Aircraft,1976,Yes,3,Yes,1977,No,New,8.5,8.5,25.5,No
1219,Soviet Union,Afghanistan,An-26,transport aircraft,Aircraft,1976,Yes,10,Yes,1978,No,New,8.5,8.5,85,No
1219,Soviet Union,Afghanistan,An-26,transport aircraft,Aircraft,1976,Yes,6,Yes,1979,Yes,New,8.5,8.5,51,No
1219,Soviet Union,Afghanistan,An-26,transport aircraft,Aircraft,1976,Yes,6,Yes,1980,Yes,New,8.5,8.5,51,No
1219,Soviet Union,Afghanistan,An-26,transport aircraft,Aircraft,1976,Yes,5,Yes,1982,Yes,New,8.5,8.5,42.5,No
19716,Soviet Union,Afghanistan,An-12,transport aircraft,Aircraft,1989,Yes,12,No,1989,No,Second hand,23,9.2,110.4,No
973,Soviet Union,Afghanistan,MiG-21MF,fighter aircraft,Aircraft,1978,No,6,Yes,1978,No,Second hand,10.7,4.28,25.68,No
978,Czechoslovakia,Afghanistan,L-39C -,(armed) trainer aircraft,Aircraft,1977,Yes,12,No,1977,No,New,3.5,3.5,42,No
978,Czechoslovakia,Afghanistan,L-39C -,(armed) trainer aircraft,Aircraft,1977,Yes,14,Yes,1978,Yes,New,3.5,3.5,49,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,6,Yes,1982,Yes,New,7.25,7.25,43.5,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,6,Yes,1983,Yes,New,7.25,7.25,43.5,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,6,Yes,1984,Yes,New,7.25,7.25,43.5,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,6,Yes,1985,Yes,New,7.25,7.25,43.5,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,6,Yes,1986,Yes,New,7.25,7.25,43.5,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,8,Yes,1987,Yes,New,7.25,7.25,58,No
1394,Soviet Union,Afghanistan,Mi-17,transport helicopter,Aircraft,1981,Yes,12,Yes,1988,Yes,New,7.25,7.25,87,No
1395,Soviet Union,Afghanistan,Mi-24A,combat helicopter,Aircraft,1980,Yes,30,Yes,1982,Yes,Second hand,6.62,2.65,79.44,No
1395,Soviet Union,Afghanistan,Mi-24A,combat helicopter,Aircraft,1980,Yes,30,Yes,1980,No,Second hand,6.62,2.65,79.44,No
1395,Soviet Union,Afghanistan,Mi-24A,combat helicopter,Aircraft,1980,Yes,30,Yes,1981,No,Second hand,6.62,2.65,79.44,No
1396,Soviet Union,Afghanistan,Su-7B,FGA aircraft,Aircraft,1978,No,10,Yes,1978,No,Second hand,6.25,2.5,25,No
1556,Soviet Union,Afghanistan,R-23,short-range air-to-air missile,Missiles,1988,Yes,75,Yes,1988,Yes,New,0.12,0.12,9,No
1556,Soviet Union,Afghanistan,R-23,short-range air-to-air missile,Missiles,1988,Yes,75,Yes,1989,Yes,New,0.12,0.12,9,No
1556,Soviet Union,Afghanistan,R-23,short-range air-to-air missile,Missiles,1988,Yes,75,Yes,1990,Yes,New,0.12,0.12,9,No
2028,Soviet Union,Afghanistan,Su-7B,FGA aircraft,Aircraft,1970,Yes,19,Yes,1971,No,New,6.25,6.25,118.75,No
2028,Soviet Union,Afghanistan,Su-7B,FGA aircraft,Aircraft,1970,Yes,19,Yes,1972,No,New,6.25,6.25,118.75,No
2029,Soviet Union,Afghanistan,Mi-8T,transport helicopter,Aircraft,1970,Yes,4,Yes,1971,Yes,New,6,6,24,No
2033,Soviet Union,Afghanistan,MiG-21F,fighter aircraft,Aircraft,1965,Yes,15,Yes,1968,Yes,New,9,9,135,No
2033,Soviet Union,Afghanistan,MiG-21F,fighter aircraft,Aircraft,1965,Yes,10,Yes,1966,Yes,New,9,9,90,No
2033,Soviet Union,Afghanistan,MiG-21F,fighter aircraft,Aircraft,1965,Yes,10,Yes,1969,Yes,New,9,9,90,No
2033,Soviet Union,Afghanistan,MiG-21F,fighter aircraft,Aircraft,1965,Yes,15,Yes,1967,Yes,New,9,9,135,No
2034,Soviet Union,Afghanistan,Mi-4,helicopter,Aircraft,1963,Yes,9,Yes,1964,No,New,1.88,1.88,16.92,No
2034,Soviet Union,Afghanistan,Mi-4,helicopter,Aircraft,1963,Yes,9,Yes,1965,No,New,1.88,1.88,16.92,No
2035,Soviet Union,Afghanistan,MiG-19,fighter aircraft,Aircraft,1963,Yes,18,Yes,1965,No,Second hand,5,2,36,No
2039,Soviet Union,Afghanistan,Il-28,bomber aircraft,Aircraft,1955,Yes,23,Yes,1959,Yes,New,7.2,7.2,165.6,No
2039,Soviet Union,Afghanistan,Il-28,bomber aircraft,Aircraft,1955,Yes,3,Yes,1957,No,New,7.2,7.2,21.6,No
2039,Soviet Union,Afghanistan,Il-28,bomber aircraft,Aircraft,1955,Yes,20,Yes,1958,No,New,7.2,7.2,144,No
2042,Soviet Union,Afghanistan,Yak-18A,trainer aircraft,Aircraft,1956,Yes,6,Yes,1957,Yes,New,0.19,0.19,1.14,No
2042,Soviet Union,Afghanistan,Yak-18A,trainer aircraft,Aircraft,1956,Yes,6,Yes,1958,Yes,New,0.19,0.19,1.14,No
2043,Soviet Union,Afghanistan,Mi-1,light helicopter,Aircraft,1956,Yes,6,No,1957,No,New,0.3,0.3,1.8,No
2044,Soviet Union,Afghanistan,An-2,light transport aircraft,Aircraft,1956,Yes,8,Yes,1957,No,New,1,1,8,No
2045,Soviet Union,Afghanistan,MiG-15UTI,(armed) trainer aircraft,Aircraft,1956,Yes,6,No,1957,No,New,3,3,18,No
